missions,tasks_per_mission,total_tasks,manpower,shift,location,campaign_in_weeks
7,32,224,75,3,3,4
20,39,780,260,3,3,4
15,17,255,85,3,3,4
11,31,341,114,3,3,4
8,53,424,142,3,3,4
7,45,315,105,3,3,4
19,14,266,89,3,3,4
11,22,242,81,3,3,4
11,38,418,140,3,3,4
4,40,160,54,3,3,4
8,56,448,150,3,3,4
3,25,75,25,3,3,4
2,51,102,34,3,3,4
12,39,468,156,3,3,4
6,25,150,50,3,3,4
2,21,42,14,3,3,4
1,26,26,9,3,3,4
12,25,300,100,3,3,4
12,21,252,84,3,3,4
17,17,289,97,3,3,4
10,29,290,97,3,3,4
16,12,192,64,3,3,4
15,25,375,125,3,3,4
15,39,585,195,3,3,4
19,54,1026,342,3,3,4
12,32,384,128,3,3,4
20,37,740,247,3,3,4
3,60,180,60,3,3,4
5,49,245,82,3,3,4
19,14,266,89,3,3,4
7,29,203,68,3,3,4
9,49,441,147,3,3,4
7,53,371,124,3,3,4
18,10,180,60,3,3,4
4,39,156,52,3,3,4
14,30,420,140,3,3,4
18,29,522,174,3,3,4
9,15,135,45,3,3,4
2,31,62,21,3,3,4
20,27,540,180,3,3,4
15,17,255,85,3,3,4
7,48,336,112,3,3,4
12,41,492,164,3,3,4
8,42,336,112,3,3,4
15,25,375,125,3,3,4
3,21,63,21,3,3,4
14,47,658,220,3,3,4
17,43,731,244,3,3,4
4,23,92,31,3,3,4
18,45,810,270,3,3,4
8,42,336,112,3,3,4
4,32,128,43,3,3,4
2,59,118,40,3,3,4
6,54,324,108,3,3,4
10,11,110,37,3,3,4
4,50,200,67,3,3,4
18,30,540,180,3,3,4
12,11,132,44,3,3,4
2,36,72,24,3,3,4
10,18,180,60,3,3,4
4,10,40,14,3,3,4
14,20,280,94,3,3,4
16,12,192,64,3,3,4
15,32,480,160,3,3,4
8,35,280,94,3,3,4
14,13,182,61,3,3,4
8,27,216,72,3,3,4
16,15,240,80,3,3,4
13,44,572,191,3,3,4
18,31,558,186,3,3,4
15,52,780,260,3,3,4
13,24,312,104,3,3,4
9,31,279,93,3,3,4
15,46,690,230,3,3,4
13,51,663,221,3,3,4
1,21,21,7,3,3,4
7,56,392,131,3,3,4
9,58,522,174,3,3,4
1,51,51,17,3,3,4
12,47,564,188,3,3,4
8,27,216,72,3,3,4
11,54,594,198,3,3,4
19,44,836,279,3,3,4
17,39,663,221,3,3,4
8,33,264,88,3,3,4
3,51,153,51,3,3,4
3,39,117,39,3,3,4
1,23,23,8,3,3,4
5,15,75,25,3,3,4
10,12,120,40,3,3,4
7,25,175,59,3,3,4
9,16,144,48,3,3,4
7,23,161,54,3,3,4
9,18,162,54,3,3,4
